Date,close,atr,atr_sma,adx,plus_di,minus_di,direction,volatility,regime,action,activation
2020-06-23,1.250156283378601,0.01454928013452311,0.015217145395430929,16.14537258573809,20.103354856897127,21.39190301658482,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-24,1.2524893283843994,0.014410373998532306,0.015095217047560007,15.359225350845117,18.847341898693735,20.889544173786696,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-25,1.2412954568862915,0.014319085409743797,0.014970483782714414,14.835656619357845,17.612678125858913,20.6879351375288,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-26,1.2425447702407837,0.01415086241680538,0.014855390619432324,14.984759738451576,16.549050683536525,23.29126772180036,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-29,1.2342174053192139,0.014363633647941422,0.014762507436214465,15.593559584795461,15.139341708313651,24.444754181361077,Sideways,Quiet,Sideways Quiet,proceed,active
2020-06-30,1.2310571670532227,0.014280690445784823,0.014663113217126864,16.135119926904792,14.239423004083333,22.83053587592067,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-01,1.2389271259307861,0.014452163522136584,0.01457082062870477,15.667236328404503,17.28380391757848,20.94825058905632,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-02,1.2464786767959595,0.014423344382288972,0.01448845873903149,14.700830807355947,18.674996981485737,19.49081371584071,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-03,1.2466403245925903,0.013718206260343249,0.014407827952221657,14.003513035958823,18.232427767755347,20.12675052700212,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-06,1.247551679611206,0.013120272433375895,0.0143260910740426,13.004982457638027,19.531439669088897,19.54085020645405,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-07,1.249547004699707,0.013091076185518968,0.014246656285879873,12.763049948037077,22.055939633092486,18.185543072664718,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-08,1.2542802095413208,0.01290499979632157,0.014174194622114458,12.625445838656082,21.29391162846678,17.13006219492509,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-09,1.2613521814346313,0.012887867850137433,0.014095312452385614,13.114467722263393,23.630241928774407,15.927630943810726,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-10,1.2605094909667969,0.012644934037394811,0.014019971748825147,13.162586117960773,22.36392312455244,16.944085638319255,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-13,1.2627506256103516,0.012265828104805192,0.013935497600994723,13.230119781538182,21.54849955850701,16.22008584725569,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-14,1.255177617073059,0.012429730457627072,0.013869552497999215,12.547093216231294,19.745471789984027,21.249047393004084,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-15,1.25692880153656,0.012241642582510398,0.013806249818927654,12.275335717093565,23.873024322966923,20.03442107748391,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-16,1.2591001987457275,0.012105647425227814,0.013737342100941418,11.56856084626964,22.416842033531317,21.374397049863546,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-17,1.2559500932693481,0.011794881317222039,0.013664727483536704,10.833336785323787,21.36407991437886,20.82597779567263,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-20,1.2571184635162354,0.01195423317889734,0.013595615878452625,10.987066489468123,24.77559641729879,19.08062384744002,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-21,1.266175389289856,0.012387334355445654,0.013538782065237344,11.869101804404021,27.507181943483285,17.098253412025866,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-22,1.2730745077133179,0.01218152384201085,0.013483087352813864,12.602624225182067,25.97392948933184,16.558027948416473,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-23,1.2729934453964233,0.011922481814390236,0.013431299649159156,13.436490423058421,25.782173699589773,15.70937398423002,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-24,1.2730745077133179,0.011604465265483772,0.01337599924577422,14.48950435770323,26.747192003230253,14.987035332941009,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-27,1.2795906066894531,0.011981427942879461,0.013327642897659052,16.19941213363143,30.303337097667473,13.47868737931461,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-28,1.2889753580093384,0.0122179859860438,0.013278362868698976,18.083547524500773,30.474650425913662,12.27359743716142,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-29,1.292373776435852,0.012088202023705362,0.013235041012376764,20.087644084983193,31.256315585714077,11.519273890180559,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-30,1.298246145248413,0.012268376747384437,0.0132057643100004,22.33973609198142,33.02701541860954,10.539379103547608,Sideways,Quiet,Sideways Quiet,proceed,active
2020-07-31,1.311785101890564,0.012729319872954913,0.013194820044558304,24.86512804108627,35.15939389631218,9.432183632591101,Sideways,Quiet,Sideways Quiet,proceed,active
2020-08-03,1.3101695775985718,0.012619517264798465,0.013192297806028366,25.857027392659315,32.93207942849157,14.536996521835933,Bull,Quiet,Bull Quiet,proceed,half
2020-08-04,1.3078734874725342,0.012590513785286842,0.013182158247763904,26.50899770397346,30.650231572359278,14.762695389841955,Bull,Quiet,Bull Quiet,proceed,half
2020-08-05,1.3086093664169312,0.012416860892293942,0.013166118142842886,27.438236943013194,32.064190714152794,13.899929979651036,Bull,Quiet,Bull Quiet,proceed,half
2020-08-06,1.3126804828643799,0.01223736424112144,0.01315114218648809,28.431448331904292,31.557920160444336,13.096397793324249,Bull,Quiet,Bull Quiet,proceed,half
2020-08-07,1.3138015270233154,0.012337189661058427,0.013138519314453,28.02074627882797,29.066673702898584,18.31886587558884,Bull,Quiet,Bull Quiet,proceed,half
2020-08-10,1.3052273988723755,0.0123014537142646,0.013120347150580153,27.639380086685676,27.068890567369603,17.059790906008843,Bull,Quiet,Bull Quiet,proceed,half
2020-08-11,1.3077194690704346,0.011987157800439652,0.013082266857894322,27.50503711788622,27.53725055591354,16.25658184776496,Bull,Quiet,Bull Quiet,proceed,half
2020-08-12,1.3050740957260132,0.011630299957193614,0.013038893848567974,26.765908680683072,26.354889489682414,18.63573971138266,Bull,Quiet,Bull Quiet,proceed,half
2020-08-13,1.3048017024993896,0.01134695627368418,0.012992321595466354,26.52124171495744,28.53736454637399,17.73672722710002,Bull,Quiet,Bull Quiet,proceed,half
2020-08-14,1.3070528507232666,0.011205197966524574,0.012940359859516993,26.449937905082518,28.109277242015057,16.67817978961006,Bull,Quiet,Bull Quiet,proceed,half
