time,open,high,low,close,volume
2026-04-02 01:45:00+00:00,4776.24,4782.8,4775.16,4776.43,2610
2026-04-02 02:00:00+00:00,4776.43,4791.57,4773.6,4791.28,3063
2026-04-02 02:15:00+00:00,4791.25,4799.0,4788.54,4794.98,3387
2026-04-02 02:30:00+00:00,4794.98,4800.45,4788.41,4789.69,2846
2026-04-02 02:45:00+00:00,4789.69,4789.88,4778.21,4784.08,3121
2026-04-02 03:00:00+00:00,4784.1,4793.49,4775.11,4792.55,5085
2026-04-02 03:15:00+00:00,4792.57,4798.76,4788.6,4789.78,4097
2026-04-02 03:30:00+00:00,4789.78,4796.2,4784.15,4787.46,4126
2026-04-02 03:45:00+00:00,4787.46,4791.87,4783.45,4784.65,4470
2026-04-02 04:00:00+00:00,4784.65,4786.3,4724.15,4750.86,9558
2026-04-02 04:15:00+00:00,4750.89,4752.95,4686.96,4697.11,9665
2026-04-02 04:30:00+00:00,4696.95,4708.25,4650.05,4689.85,9811
2026-04-02 04:45:00+00:00,4689.85,4711.8,4684.86,4696.59,7396
2026-04-02 05:00:00+00:00,4696.48,4704.08,4678.65,4688.83,7369
2026-04-02 05:15:00+00:00,4688.91,4702.93,4688.28,4689.82,5611
2026-04-02 05:30:00+00:00,4689.76,4691.05,4655.53,4675.87,8216
2026-04-02 05:45:00+00:00,4675.96,4689.25,4673.01,4686.79,6358
2026-04-02 06:00:00+00:00,4686.79,4691.51,4677.69,4689.9,5866
2026-04-02 06:15:00+00:00,4689.9,4699.25,4688.02,4691.46,5016
2026-04-02 06:30:00+00:00,4691.46,4692.56,4683.33,4685.65,4199
2026-04-02 06:45:00+00:00,4685.65,4687.45,4675.56,4676.11,3564
2026-04-02 07:00:00+00:00,4676.11,4681.39,4664.53,4668.28,4340
2026-04-02 07:15:00+00:00,4668.28,4672.32,4662.17,4666.21,3664
2026-04-02 07:30:00+00:00,4666.21,4669.69,4658.3,4661.87,4041
2026-04-02 07:45:00+00:00,4661.87,4673.08,4657.13,4672.56,3383
2026-04-02 08:00:00+00:00,4672.58,4675.25,4666.26,4670.26,3404
2026-04-02 08:15:00+00:00,4670.26,4680.42,4669.44,4677.2,3869
2026-04-02 08:30:00+00:00,4677.2,4679.25,4628.97,4634.05,8255
2026-04-02 08:45:00+00:00,4634.05,4635.27,4586.23,4594.16,9694
2026-04-02 09:00:00+00:00,4594.16,4596.66,4553.84,4580.65,9366
2026-04-02 09:15:00+00:00,4580.65,4598.7,4574.13,4591.22,6931
2026-04-02 09:30:00+00:00,4591.22,4598.44,4581.6,4588.37,6618
2026-04-02 09:45:00+00:00,4588.38,4608.66,4584.09,4599.22,6730
2026-04-02 10:00:00+00:00,4599.21,4622.13,4597.27,4621.08,5992
2026-04-02 10:15:00+00:00,4621.07,4627.32,4617.76,4620.68,5636
2026-04-02 10:30:00+00:00,4620.67,4641.57,4619.4,4637.44,5369
2026-04-02 10:45:00+00:00,4637.31,4651.0,4636.15,4642.77,4833
2026-04-02 11:00:00+00:00,4642.77,4648.87,4629.0,4641.1,5904
2026-04-02 11:15:00+00:00,4641.1,4644.85,4631.46,4634.39,4769
2026-04-02 11:30:00+00:00,4634.39,4643.75,4630.56,4630.62,5052
2026-04-02 11:45:00+00:00,4630.62,4634.46,4617.26,4620.8,4834
2026-04-02 12:00:00+00:00,4620.8,4625.32,4613.24,4623.79,4252
2026-04-02 12:15:00+00:00,4623.79,4631.85,4617.22,4621.04,4436
2026-04-02 12:30:00+00:00,4621.03,4625.42,4615.44,4621.53,4063
2026-04-02 12:45:00+00:00,4621.53,4628.39,4617.79,4621.83,4377
2026-04-02 13:00:00+00:00,4621.83,4634.98,4618.48,4625.18,4426
2026-04-02 13:15:00+00:00,4625.18,4626.92,4604.12,4618.62,4489
2026-04-02 13:30:00+00:00,4618.62,4631.4,4613.61,4624.58,4392
2026-04-02 13:45:00+00:00,4624.56,4629.67,4619.74,4620.53,4323
2026-04-02 14:00:00+00:00,4620.25,4629.88,4616.71,4627.55,4510
2026-04-02 14:15:00+00:00,4627.55,4630.64,4614.11,4614.83,4351
2026-04-02 14:30:00+00:00,4614.83,4617.6,4592.93,4600.05,5593
2026-04-02 14:45:00+00:00,4600.05,4612.1,4596.2,4600.09,5489
2026-04-02 15:00:00+00:00,4600.12,4612.83,4594.59,4612.59,6396
2026-04-02 15:15:00+00:00,4612.59,4630.27,4609.58,4626.25,6243
2026-04-02 15:30:00+00:00,4626.25,4626.78,4615.78,4618.19,5714
2026-04-02 15:45:00+00:00,4618.25,4626.43,4600.45,4601.74,5954
2026-04-02 16:00:00+00:00,4601.94,4614.02,4580.75,4587.53,8828
2026-04-02 16:15:00+00:00,4587.53,4600.31,4581.09,4597.56,7762
2026-04-02 16:30:00+00:00,4597.56,4607.58,4586.18,4602.18,9681
2026-04-02 16:45:00+00:00,4602.18,4651.46,4600.64,4646.45,9039
2026-04-02 17:00:00+00:00,4646.45,4659.91,4631.52,4647.79,9359
2026-04-02 17:15:00+00:00,4647.79,4675.68,4645.86,4665.23,9584
2026-04-02 17:30:00+00:00,4665.23,4699.75,4659.04,4693.53,10626
2026-04-02 17:45:00+00:00,4693.37,4693.46,4672.64,4681.45,9764
2026-04-02 18:00:00+00:00,4681.45,4684.04,4667.6,4672.3,9341
2026-04-02 18:15:00+00:00,4672.3,4681.91,4658.08,4672.46,8529
2026-04-02 18:30:00+00:00,4672.46,4676.16,4662.25,4666.11,7497
2026-04-02 18:45:00+00:00,4666.11,4666.82,4652.62,4661.04,6862
2026-04-02 19:00:00+00:00,4661.03,4668.46,4647.87,4654.9,6899
2026-04-02 19:15:00+00:00,4654.9,4656.9,4643.03,4650.73,7018
2026-04-02 19:30:00+00:00,4650.73,4670.25,4650.49,4658.88,7084
2026-04-02 19:45:00+00:00,4658.88,4670.46,4656.77,4659.24,6426
2026-04-02 20:00:00+00:00,4659.22,4668.4,4656.32,4664.0,5641
2026-04-02 20:15:00+00:00,4664.0,4665.78,4651.27,4651.84,5893
